Peak Name,Star Name,Occlusion Time,Occlusion Date,UTC, Observer Name,Peak Lat,Peak Long,Obs Lat,Obs Long,Peak Alt (m),Obs Alt (m),Distance (m),Star->Peak ♈︎ (dd),Star->Peak ϵ (dd),Star->Obs ♈︎ (dd),Star->Obs ϵ (dd),Canva Links,Star GP Lat,Star GP Long,Star GP Dist (m),Star Drop Rate (arcsec),GE Occlusion Check,Temp (C),Azi (Peak)
Ediz-Blyn Mtn,3 Cap,00:05:07 ,5/28/2025,-7,Jesse,48.0172,-122.926,48.1409,-123.4439,631.0000,6.0000,40859.3944,0.6397,1.0344,0.2723,0.7142,https://www.canva.com/design/DAGuVK8quA8/tfowO1EtuqJw28LcYuEJVw/edit?utm_content=DAGuVK8quA8&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,,,9.5,0:05:03,,
Varley SE2 Squamish,Regulus,00:30:21 ,6/11/2025,-7,Goose,49.59238889,-123.4611111,49.55916667,-123.2355556,1424.0000,4.0000,16677.5973,4.7858,4.9500,4.6358,4.8019,https://www.canva.com/design/DAGutvSY2VU/E6m3QgkZRVtmA_4Ds2HPOA/edit?utm_content=DAGutvSY2VU&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,-12.466111,-48.228584,9972500,-9.51,0:30:26,,
Puhitempi Kuaikatete,EZ Cet,01:11:53 ,12/31/2025,-7,Katalan,43.26754,-116.88338,43.4007966,-116.234757,2000.0000,890.0000,54512.3666,0.9631,1.3069,0.5261,0.9147,https://www.canva.com/design/DAG9cWsueUY/GBKadij-a2tkEE0n1u161g/edit?ui=eyJBIjp7Ik8iOnsiQiI6dHJ1ZX19LCJGIjp7fX0,,,,-10.83,1:13:11,,254.4333333
Puhitempi Kuaikatete,53 Cet,01:12:17 ,12/31/2025,-7,Katalan,43.26754,-116.88338,43.4007966,-116.234757,2000.0000,890.0000,54512.3666,0.9375,1.2853,0.5006,0.8933,https://www.canva.com/design/DAG9cWsueUY/GBKadij-a2tkEE0n1u161g/edit?ui=eyJBIjp7Ik8iOnsiQiI6dHJ1ZX19LCJGIjp7fX0,,,,-10.83,1:13:11,,254.489139
Puhitempi Kuaikatete,Baten Kaitos,01:15:50 ,12/31/2025,-7,Katalan,43.27933,-116.85465,43.4007966,-116.234757,1877.0000,890.0000,51918.9946,0.8883,1.2417,0.4519,0.8503,https://www.canva.com/design/DAG9cWsueUY/GBKadij-a2tkEE0n1u161g/edit?ui=eyJBIjp7Ik8iOnsiQiI6dHJ1ZX19LCJGIjp7fX0,,,,-10.83,,,255.028889
Pikes Peak,HD 217533,19:31:40 ,1/27/2025,-7,Dr. Heffron,38.840278,-105.044444,38.9997,-104.49723,4299.8000,2073.6800,50550.7634,2.5766,2.7675,2.1086,2.3342,,,,,-10.97,,-4.16,249.509595
Pikes Peak,HD 217533 (2),19:15:57 ,1/31/2025,-7,Dr. Heffron,38.840278,-105.044444,38.9997,-104.49723,4299.8000,2073.6800,50550.7634,2.5748,2.7656,2.1067,2.3322,,,,,-10.97,,-4.16,249.509595
Pikes Peak,39 Aquarii (Moon),18:31:22 ,1/30/2025,-7,Dr. Heffron,38.840278,-105.044444,38.9997,-104.49723,4299.8000,2073.6800,50550.7634,2.5486,2.7533,2.0939,2.3203,,,,,-10.97,,-5,249.509595
Lucky Peak, HD 76600,19:09:46 ,2/5/2026,-7,Katalan,43.611799,-116.089012,43.616306,-116.158167,1506.0000,899.0000,5589.8634,6.0389,6.1848,5.9888,6.1150,,,,,-10.83,,10,95.199806
Lucky Peak,HD 76525,19:09:59 ,2/5/2026,-7,Katalan,43.611799,-116.089012,43.616306,-116.158167,1506.0000,899.0000,5589.8634,6.0840,6.2086,6.0130,6.1388,,,,,-10.83,,10,95.199806
Lucky Peak,SAO 117309,19:11:35 ,2/5/2026,-7,Katalan,43.611799,-116.089012,43.616306,-116.158167,1506.0000,899.0000,5589.8634,6.0386,6.1639,5.9883,6.1145,,,,,-10.83,,10,95.199806
Lucky Peak,HD 77039,19:12:16 ,2/5/2026,-7,Katalan,43.611799,-116.089012,43.616306,-116.158167,1506.0000,899.0000,5589.8634,6.0303,6.1558,5.9801,6.1063,,,,,-10.83,,10,95.199806
Lucky Peak,HD 78282,19:19:33 ,2/5/2026,-7,Katalan,43.611799,-116.089012,43.616306,-116.158167,1506.0000,899.0000,5589.8634,6.0216,6.1472,5.9713,6.0978,,,,,-10.83,,10,95.199806
Lucky Peak,SAO 117493,19:24:56 ,2/5/2026,-7,Katalan,43.611799,-116.089012,43.616306,-116.158167,1506.0000,899.0000,5589.8634,6.0573,6.1823,6.0071,6.1329,,,,,-10.83,,10,95.199806
Lucky Peak,HIP 45114,19:24:57 ,2/5/2026,-7,Katalan,43.611799,-116.089012,43.616306,-116.158167,1506.0000,899.0000,5589.8634,6.0402,6.1655,5.9899,6.1161,,,,,-10.83,,10,95.199806
Lucky Peak,HIP 45592,19:30:01 ,2/5/2026,-7,Katalan,43.611799,-116.089012,43.616306,-116.158167,1506.0000,899.0000,5589.8634,6.0441,6.1693,5.9938,6.1198,,,,,-10.83,,10,95.199806
Lucky Peak,SOA 117565,19:30:24 ,2/5/2026,-7,Katalan,43.611799,-116.089012,43.616306,-116.158167,1506.0000,899.0000,5589.8634,6.0624,6.1873,6.0121,6.1379,,,,,-10.83,,10,95.199806
Lucky Peak,HD 80537,19:33:57 ,2/5/2026,-7,Katalan,43.611799,-116.089012,43.616306,-116.158167,1506.0000,899.0000,5589.8634,6.0457,6.1709,5.9954,6.1215,,,,,-10.83,,10,95.199806
